Código de reporte / ticket,Fecha de reporte,Módulo,Plataforma,Version,Sistema operativo,Dispositivo utilizado,Versión de navegador / app,Tipo de incidencia,Prioridad,Título,Descripción,Pasos para reproducir,Sugerencia,Evidencia,Reporter,Estatus de resolución - Desarrollador,Desarrollador que coloca el estatus,Fecha de resolucion,Version de la solucion,Estatus de resolución - Tester,Tester que coloca el estatus,Fecha de revision
EDEN-119,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El error ocurre al ya tener un ser querido en mi lista de mi circulo de seres querido y no poder eliminarlo,El error ocurre cuando se añade un ser querido y se ve reflejado en la lista de mi circulo pero no se puede eliminar y tampoco tiene el icono correspondiente,"
1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de añadir seres queridos.
5.Colocar el nombre del ser querido que deseamos invitar .
6.Ver el modal.
7.Darle a invitar.
8.Ver reflejado el nombre del usuario en mi lista.
9.Intentar eliminar al usuario.",,EVIDENCIA 119,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-120,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El erro ocurre al momento de invitar un usuario fuera de la app y el campo de correo acepta espacios en blanco,"El error ocurre cuando se selecciona la opcion de invitar a un ser querido fuera de la app , y al momento de dejar espacios en blanco el campo de correo el mismo acepta esto como valido y continua a realizar la invitacion.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de añadir seres queridos.
5.Colocar el nombre de un usuario que no este en la app.
6.Seleccionar la opcion de invitar a un ser querido fuera de la app.
7.Dejar el campo de correo en blanco.",,EVIDENCIA 120,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-121,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El erro ocurre al momento de invitar un usuario fuera de la app y el campo de correo acepta puros numeros,"El error ocurre cuando se selecciona la opcion de invitar a un ser querido fuera de la app , y al momento de colocar puros numeros el campo de correo el mismo acepta esto como valido y continua a realizar la invitacion.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de añadir seres queridos.
5.Colocar el nombre de un usuario que no este en la app.
6.Seleccionar la opcion de invitar a un ser querido fuera de la app.
7.Dejar el campo de correo en blanco.",,EVIDENCIA 121,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-122,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El erro ocurre al momento de invitar un usuario fuera de la app y el campo de correo acepta puros caracteres especiales,"El error ocurre cuando se selecciona la opcion de invitar a un ser querido fuera de la app y al momento de colocar puros caracteres especiales, el campo de correo el mismo acepta esto como valido y continua a realizar la invitacion.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de añadir seres queridos.
5.Colocar el nombre de un usuario que no este en la app.
6.Seleccionar la opcion de invitar a un ser querido fuera de la app.
7.Colocar puros caracteres especiales.",,EVIDENCIA 122,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-123,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El erro ocurre al momento de invitar un usuario fuera de la app y el campo de correo acepta puras letras fuera del formato de correo establecido,"El error ocurre cuando se selecciona la opcion de invitar a un ser querido fuera de la app y al momento de colocar puras letras fuera del formato de correo establecido, el mismo acepta esto como valido y continua a realizar la invitacion.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de añadir seres queridos.
5.Colocar el nombre de un usuario que no este en la app.
6.Seleccionar la opcion de invitar a un ser querido fuera de la app.
7.Colocar puras letras fuera del formato de correo establecido.",,EVIDENCIA 123,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-124,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,BAJA,El error ocurre en el flujo de editar mi perfil en el modulo de editar mi frase,"El error ocurre cuando se oprime el boton de editar mi frase personal y cuando aparece la pantalla para editar dicha frase, en la parte superior izquierda aparece una flecha en lugar de una x como esta en el diseño de figma.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de añadir seres queridos.
5.Colocar el nombre de un usuario que no este en la app.
6.Seleccionar la opcion de invitar a un ser querido fuera de la app.
7.Colocar puras letras fuera del formato de correo establecido.",,EVIDENCIA 124,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-125,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,BAJA,"El error ocurre en el flujo de editar mi perfil en el modulo de editar mi frase , cuando se termina de guardar la informacion el modal es distinto al del figma","El error ocurre cuando se modifica la frase que ya se encontraba y se selecciona el boton de guardar el modal que aparece para confirmar el cambio , no tiene la informacion igual que la del figma","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar mi frase.
6.Coloque la nueva frase y guarde los cambios.",,EVIDENCIA 125,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-126,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,MEDIA,El error ocurre en el helper del flujo de editar nombre y apellido del modulo de profile,"El error ocurre cuando al colocar una cierta cantidad de caracateres en el campo de nombre la app te informa que como maximo tiene que ser  50 caracteres , pero en la creacion de cuenta te informa que no puede ser mas de 20 caracteres en ese modulo.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar nombre .
6.Colocar mas de los caracteres solicitados en la creacion de cuenta.",,EVIDENCIA 126,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-127,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El error ocurre cuando se intenta editar el nombre y apellido en el modulo de profle y los campos soportan cualquier tipo de caracter especia,"El error ocurre cuando se intenta editar el nombre y apellido en el modulo de profle y los campos soportan cualquier tipo de caracter especial, espacios y numeros , los mismo no deben ser permitidos en estos campos y debe tener un helper al momento que se introduzca cualquiera de estos datos.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar nombre .
6.Colocar todo tipo de caracteres especiales , espacios y numeros.",,EVIDENCIA 127,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-128,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,BAJA,"El error ocurre en el flujo de editar mi perfil en el modulo de editar nombre y apellido , cuando se termina de guardar la informacion el modal es distinto al del figma","El error ocurre cuando se modifica el nombre y apellido  que ya se encontraba y se selecciona el boton de guardar el modal que aparece para confirmar el cambio , no tiene la informacion igual que la del figma","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar nombre .
6.Colocar el nuevo nombre y apellido.
7.Guardar cambios.",,EVIDENCIA 128,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-129,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,BAJA,El error ocurre al momento de ver los datos actualizados en el modulo de profiel,"El error ocurre cuando se actualiza un datos del modulo de profile , tienen un espacio fuera de los margenes que estan establecidos en el figma ya que no llevan el mismo patron.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar nombre .
6.Colocar el nuevo nombre y apellido.
7.Guardar cambios.
8.Ver reflejado el nombre actualizado.",,EVIDENCIA 129,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-130,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,MEDIA,El error ocurre en el modulo de editar numero de telefono del flujo editar perfil,"El error ocurre , cuando se coloca la constraseña de manera errada para el cambio de numero de telefono y la app no le informa al cliente que dicha contraseña no es correcta.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar numero de telefono.
6.Colocar la contraseña de forma errada.",,EVIDENCIA 130,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-131,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El error ocurre en el modulo de editar numero de telefono del flujo editar perfil,"El error ocurre cuando el campo de numero de telefono admite una cantidad infinita de digitos , lo cual no se debe permitir.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar numero de telefono.
6.Colocar la contraseña.
7.Colocar una infinidad de  numeros en el campo de telefono.",,EVIDENCIA 131,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-132,11/11/2022,Profile,Mobile,0.0.3,Android 11,,N/A,Error,ALTA,El error ocurre en el modulo de editar numero de telefono del flujo editar perfil,"El error ocurre cuando el campo de numero de telefono admite letras , lo cual no se debe permitir.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar Profile.
4.Selecionar la opcion de editar mi perfil.
5.Seleccionar la opcion de editar numero de telefono.
6.Colocar la contraseña.
7.Colocar letras  en el campo de telefono.",,EVIDENCIA 132,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-133,14/11/2022,Recuperacion de cuenta,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error en el modulo de restablecer contraseña el cual no permite ver los digitos que se van a colocar,"El error ocurre cuando se restableciendo la contraseña, al momento de introducir el token enviado el mismo no se puede ver al momento que se esta colocando en la aplicacion y no deja continuar para concluir el flujo.","1.Tener la app descargada
2.Crear un usuario y contraseña.
3.Restablecer la contraseña via numero de telefono de la cuenta recien creada.",,EVIDENCIA 133,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-134,14/11/2022,Recuperacion de cuenta,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error en el modulo de restablecer contraseña el cual permite colocar la misma contraseña que se esta modificando muchas veces seguidas,"Al momento de restablecer la contraseña , la misma soporta el cambio de la misma contraseña muchas veces consecutivas , lo cual no deberia pasar , se debe definir un limite de 5 contraseñas no iguales a las anteriores.","1.Tener la app descargada
2.Crear un usuario y contraseña.
3.Restablecer la contraseña.
4.Colocar la contraseña que acabas de restablecer multiples veces.",,EVIDENCIA 134,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-135,14/11/2022,Inicio de sesion,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,"Error ocurre cuando se oprime el boton de acceder con google, en la pantalla principal de la app","Al momento de darl click en la pantala principal de inicio de sesion con google, la misma ten envia automaticamente a colocar un numero de telefono y no te informa con la cuenta que vas a seguir, en el telefono tiene 3 cuentas ya asociada por google , por lo cual el sistema no lo esta tomando en ese paso, el inicio de sesion con google no deberia estar en la pantalla principal sino que deberia ir adentro del cuadro de crear cuenta y inicio de sesion como ya esta , pero no por fuera.","1.Tener la app descargada
2.Intentar crear cuenta por google.",,EVIDENCIA 135,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-136,14/11/2022,Arcas,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error en el flujo de arcas en memorias,"Al momento de intentar crear una memoria en el modulo de arcas, al tratar de seleccionar el mismo no lo permite y te envia de nuevo al flujo de ir a galerias.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de arcas.
4.Cear el arca por el modulo de arcas guiadas memorias.
5.Tratar de cargar una imagen.",,EVIDENCIA 136,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-137,14/11/2022,Arcas,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error en el limite de caracteres  cuando se intenta crear la informacion de dicha arca  en el modulo de memorias,"Al momento que se esta colocando la informacion correspondiente para llenar la informacion del arca en memorias, la misma tiene un limite que admite 1000 caracteres , al momento de colocar dicha informacion solo admite 500 caracteres.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de arcas.
4.Cear el arca por el modulo de arcas guiadas memorias.
5.Cargar la imagen.
6.Colocar el titulo.
7.Colocar la informacion.",,EVIDENCIA 137,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-138,14/11/2022,Arcas,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,"Error al momento que el arca ya esta creada y se le da click a los 3 botones para editar la arcas , la misma tiene un boton de compartir el cual no funciona","Al momento que se crea el arca y ya se puede ver en el modulo de arcas, al momento de darle click a los 3 puntos que se enecuentran en la parte superior derecha , el mismo tiene 3 opciones, la cual de compartir llaves no hace nada.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de arcas.
4.Cear el arca por el modulo de arcas guiadas memorias.
5.Cargar la imagen.
6.Colocar el titulo.
7.Colocar la informacion.
8.Guardar el arca.
9.Ver el arca ya cargada en el modulo de arcas de el menu de navegacion.
10.Oprimir los 3 botones .
11.Validar la opcion de compartir llaves.",,EVIDENCIA 138,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-139,14/11/2022,Arcas,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,"Error al momento que el arca ya esta creada y se le da click a los 3 botones para editar la arcas , la misma tiene un boton de eliminar arca el cual no funciona","Al momento que se crea el arca y ya se puede ver en el modulo de arcas, al momento de darle click a los 3 puntos que se enecuentran en la parte superior derecha , el mismo tiene 3 opciones la cual una de esas opcion es de eliminar arcas la cual no hace nada.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de arcas.
4.Cear el arca por el modulo de arcas guiadas memorias.
5.Cargar la imagen.
6.Colocar el titulo.
7.Colocar la informacion.
8.Guardar el arca.
9.Ver el arca ya cargada en el modulo de arcas de el menu de navegacion.
10.Oprimir los 3 botones .
11.Validar la opcion de eliminar arcas.",,EVIDENCIA 139,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-140,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,"Error en el modulo de busqueda de eden , el cual al colocar un nombre nunca ubica a la persona",El error ocurre cuendo al momento de colocar un nombre de un usuario no lo encuentra ,"
1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Seleccionar buscar eden.",,EVIDENCIA 140,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-141,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al momento de cargar la informacion de las insignias que se entreguen ,"Al momento de ubicar un usuario para entregar insignias , al momento de realizar todo el proceso cuando el usuario cargar informacion junto con la insignias no se ve reflejado en el perfil.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Seleccionar buscar eden.
5.Seleccionar al usuario a entregar las insignias.
6.Colocar la informacion y realizar el pago de las insignias.",,EVIDENCIA 141,Victor Moreno,Corregido,Cesar G,,,SOLUCIONADO,Victor Moreno,
EDEN-142,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al momento de cargar el nombre de la persona en el flujo de crear eden ,"Al momento de crear el nombre de la persona en el modulo de eden , el campo soporta mas de los caracteres permitidos , aun asi te informa que el limite esta superado pero no bloquea la escritura.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Seleccionar crear eden.
5.Colocar el nombre de la persona.
6.Colocar mas de la cantida solicitada.",,EVIDENCIA 142,Victor Moreno,Corregido,Cesar G,,,SOLUCIONADO,Victor Moreno,
EDEN-143,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al momento de cargar el nombre de la persona en el flujo de crear eden ,"Al momento de crear el nombre de la persona en el modulo de eden , el campo soporta espacios en blanco como si fuera informacion.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Seleccionar crear eden.
5.Colocar el nombre de la persona.
6.Colocar el campo en blanco cumpliendo con los 6 espacios.",,EVIDENCIA 143,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-144,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al momento de cargar la informacion persona en el flujo de crear eden ,Al momento de querer colocar la informacion adicional la misma supera la cantidad maxima establecida por el campo de texto.,"1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Seleccionar crear eden.
5.Colocar el nombre de la persona.
6.Colocar la informacion adicional.",,EVIDENCIA 144,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-145,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,,Error al momento de colocar una memoria en un eden ya creado,"Al momento de quere colocar una informacion en un eden ya creado , en el modulo de publicaciones , al momento de cargar la informacion y esta sea demasiado amplia en caracteres , la misma entorpece el proceso de publica la informacion o poder moverse por el campo , el mismo debe tener un scroll en el campo para que la informacion tome toda la pantalla del movil e impida comunicar.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Seleccionar crear eden.
5.Colocar el nombre de la persona.
6.Colocar la informacion adicional.
7.Colocar la informacion.
8.Guardar.
9.Ver el eden ya creado y querer agregar una publicacion a este eden.",,EVIDENCIA 145,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-146,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,MEDIA,Error al no actualizar la imagen de la publicacion creada en un eden,Al momento de cargar las imagenes de la publiucacion de un eden son se actualizan luego de publicarlas,"1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Seleccionar crear eden.
5.Colocar el nombre de la persona.
6.Colocar la informacion adicional.
7.Colocar la informacion.
8.Guardar.
9.Ver el eden ya creado y querer agregar una publicacion a este eden.
10.Ver la imagenes cargas en dicha publicidad.",,EVIDENCIA 146,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-147,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error en el campo de Atte:escribe aqui en el modulo de entregar insignias en el eden,"En el campo de Atte:escribe aqui , soporta cualquier cantidad de caracteres , se debe defirnir un maximo de caracteres para este campo.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Ver los eden creados.
5.Otorgar insignias.
6.Colocar la informacion adicional.",,EVIDENCIA 147,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-148,14/11/2022,Eden,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al momento de asignar una insignia a un eden de terceros ,"Al momento de crear el eden y cargar toda la informacion , en el momento donde se otorga la insignia y se realiza el proceso completo la misma insignia no se ve reflejado en el perfil.","
1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ingresar y ubicar las opcion de eden.
4.Ver los eden creados.
5.Otorgar insignias.",,EVIDENCIA 148,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-149,14/11/2022,Profile,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al poder modificar el correo actual por otro que se encuentra en la app,"Error al momento que se cambia el correo electronico, se coloca un correo que ya esta resgitrado en la app y continua a enviar el codigo.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ubicar la opcion de profile.
4.Modificar el perfil.
5.Modificar el correo electronico.",,EVIDENCIA 149,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-150,14/11/2022,Profile,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al colocar el codigo de confirmacion de forma correcta y da error en el modulo de profile,"Al momento de realizar el cambio de correo y colocar el codigo enviado al correo , se introduce el codigo de forma correcta y la misma indica que el codigo es invalido.","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ubicar la opcion de profile.
4.Modificar el perfil.
5.Modificar el correo electronico.
6.Colocar el codigo.",,EVIDENCIA 150,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-151,14/11/2022,Profile,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al momento de concluir el flujo de modificacion de correo en profile,"Al momento de finalizar el flujo de modificacion de correo del modulo de profile, el modal que aparece con la informacion de que su correo ha sido actualizado exitosamente , no hace nada al darle click en continuar","
1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ubicar la opcion de profile.
4.Modificar el perfil.
5.Modificar el correo electronico.
6.Colocar el codigo.
7.Darle click al boton de aceptar.",,EVIDENCIA 151,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-152,14/11/2022,Profile,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error en actualizar la informacion de correo electronico en profile,"Error al no actualizar los datos que se modifican en el campo de correo , cuando la app informo que el cambio fue exitoso","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ubicar la opcion de profile.
4.Modificar el perfil.
5.Ver si la app actualizo los datos.",,EVIDENCIA 152,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-153,14/11/2022,Profile,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al tratar de actualizar el numero de telefono,"Error al tratar de actualizar el numero de telefono , al momento de colocar la contraseña y darle continuar el boton no tiene efecto y no realiza ninguna funcionalidad","
1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ubicar la opcion de profile.
4.Modificar el perfil.
5.Modificar el numero de telefono.","Nota: no es sugerencia, el problema se valido varias veces dio problemas y luego de salir por un par de horas de la app , funciona, igualmente validen que no este afectando otra funcion.",EVIDENCIA 153,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-154,14/11/2022,Profile,Mobile,0.0.4,Android 11,,N/A,Error,ALTA,Error al momento de cambiar la contraseña desde el modulo de profile,"Error al momento de restablecer la contraseña desde el modulo de profile , al momento de colocar la contraseña y darle continuar el boton no tiene efecto","1.Tener la app descargada
2.Ingresar con usuario y contraseña.
3.Ubicar la opcion de profile.
4.Modificar el perfil.
5.Modificar la contraseña.",,EVIDENCIA 154,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-155,15/11/2022,Landing,WEB,1.0.0,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en el color del boton de eden en el top bar,Error esta en que el color del boton de eden es azul en la landing y el figma esta en amarillo,"1.Ingresar a https://eden-landing-qa-4bwq4cewaa-uc.a.run.app/ desde un navegador
2.Ubicar la parte superior a mano derecha.",,EVIDENCIA 155,Victor Moreno,Corregido,,,,SOLUCIONADO,Victor Moreno,
EDEN-156,15/11/2022,Landing,WEB,1.0.0,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en la separacion del logo de eden del margen ,Error esta que el logo no tiene la separacion que se encuentra en el figma.,"1.Ingresar a eden  desde un navegador.
2.Ubicar la parte superior a mano izquierda el logo y la separacion.",,EVIDENCIA 156,Victor Moreno,Corregido,,,,SOLUCIONADO,Victor Moreno,
EDEN-157,15/11/2022,Landing,WEB,1.0.0,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en el color de las letras en el modulo de informacion sobre nosostros,"El error esta en el color de las letras que se encuentra en el modulo de ‘’Sobre nosostros‘’ , en  los enunciados de arcas, homenajes y llaves , el color de las letras no es igual al que se encuentra en el figma.","1.Ingresar a eden  desde un navegador.
2.Ubicar la opcion de sobre nosotros y ver los colores de los enunciados.",,EVIDENCIA 157,Victor Moreno,Corregido,,,,SOLUCIONADO,Victor Moreno,
EDEN-158,15/11/2022,Landing,WEB,1.0.0,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en la opcion de leer mas en el modulo de ‘’Sobre nosostros‘’ ,En el figma en la opcion de leer mas en cada uno de los enunciados tiene una flecha para desplegar esa informacion y en la web no esta  presente este elemento,"1.Ingresar a eden  desde un navegador.
2.Ubicar la opcion de sobre nosotros y ver las opciones de leer mas.",,EVIDENCIA 158,Victor Moreno,Corregido,,,,SOLUCIONADO,Victor Moreno,
EDEN-159,15/11/2022,Landing,WEB,1.0.0,Windows 10,,Versión 107.0.5304.107,Error,BAJA,"Error en el margen de el modulo donde esta la informacion de arcas, homenajes, llaves","El error en los margenes aplicados en esta parte en la web , ya que en el figma se distribuye de mejor forma los elementos ","1.Ingresar a eden  desde un navegador.
2.Ubicar la opcion de sobre nosotros y ver las opciones de leer mas.",,EVIDENCIA 159,Victor Moreno,Corregido,,,,SOLUCIONADO,Victor Moreno,
EDEN-160,15/11/2022,Landing,WEB,1.0.0,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en las distribucion de los texto en el modulo de ’Sobre nosostros‘’  ,El error ocurre cuando los texto en el figma estan a una cierta distancia y a un cierto oreden y en la web no esta de esa manera,"1.Ingresar a eden  desde un navegador.
2.Ubicar la opcion de sobre nosotros y ver las opciones de leer mas.",,EVIDENCIA 160,Victor Moreno,Corregido,,,,SOLUCIONADO,Victor Moreno,
EDEN-161,16/11/2022,Creacion de cuenta,Mobile,0.0.4,Android 11,,N/A,Error,BAJA,Error en el modulo de creacion de cuenta la informacion sobre la app en la parte superior no es la misma del figma,El error ocurre cuando la frase de la parte superior de la creacion de cuenta no es la misma de la del figma.,"1.Tener la app descargada.
2.Ingresar al modulo de creacion de cuenta.
3.Ver la informacion principal en la parte superior.",,EVIDENCIA 161,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-162,16/11/2022,Creacion de cuenta,Mobile,0.0.4,Android 11,,N/A,Error,BAJA,Error en el acento de una palabara en el modal de creacion de cuenta,"El error ocurre cuando en el modal de creacion de cuenta luego de colocar tu correo electronico , la palabra continuar no tiene el acento correspondiente , que se encuentra en el figma","1.Tener la app descargada.
2.Ingresar al modulo de creacion de cuenta.
3.Ver la informacion principal en la parte superior.
4.Colocar el correo y darle al boton de continuar.",,EVIDENCIA 162,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-163,16/11/2022,Creacion de cuenta,Mobile,0.0.4,Android 11,,N/A,Error,BAJA,"Error en el modulo de creacion de cuenta , en el flujo de colocar los datos personales , el enunciado de la parte superior no es el mismo que el de figma",Error ocurre cuando se colocan los datos personales como nombre y apellido la informacion de la parte superior no es la misma del figma,"1.Tener la app descargada.
2.Ingresar al modulo de creacion de cuenta.
3.Ver la informacion principal en la parte superior.
4.Colocar el correo y darle al boton de continuar.
5.Validar codigo.
6.Colocar el nombre y apellido.",,EVIDENCIA 163,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
